,report_dt,segment,replenishable_flg,subtraction_flg,month_maturity,target_maturity_days,balance_start,balance_gain,balance,newbusiness,contract_close,early_withdrawal,operations,interests,renewal,universal_weight_id
130,2023-10-31,mass,1,1,18,548,78984480.9217651,-12082752.224083502,66901728.697681606,1743700.5300474071,-13148926.304770531,0.0,-761285.3240544116,83758.87469403486,7455116.414597323,6
131,2023-10-31,mass,1,1,24,730,11873875608.080364,-415689840.08895296,11458185767.991411,7823384.318611266,-179812745.47236937,0.0,-300223158.26192033,56522679.32672549,100460452.81989619,6
132,2023-10-31,mass,1,1,36,1095,198087503.1512963,-6161018.200530259,191926484.95076603,1187008.8544304692,-2651168.870749884,0.0,-5242858.988019729,546000.803808885,1099463.311840366,7
133,2023-10-31,priv,0,0,3,90,249927068749.75388,28456544498.857883,278383613248.61176,47124149052.67825,-19778954039.821213,-713171339.2336982,0.0,1824520825.234543,13038490742.875124,2
134,2023-10-31,priv,0,0,6,180,308277717801.837,-15580041692.785404,292697676109.0516,29655483770.13453,-43472255253.78776,-3523734792.717466,0.0,1760464583.5852897,10999990.398231275,3
135,2023-10-31,priv,0,0,12,365,259138587473.07184,-9056246371.488895,250082341101.58295,38821491907.32383,-44959197591.508125,-4381578098.246374,0.0,1463037410.9417753,12332172.313337024,5
136,2023-10-31,priv,0,0,18,548,29884900586.56274,9403765720.605873,39288666307.16861,9812973347.435072,-177738806.45539925,-448372386.2985899,0.0,216903565.92478913,9639207.758050472,6
137,2023-10-31,priv,0,0,24,730,8341831139.729417,2832113175.3507886,11173944315.080206,2914434894.862898,-2413208.139515,-141714959.59789452,0.0,61806448.22530036,0.0,6
138,2023-10-31,priv,0,0,36,1095,67985228702.84182,820911163.3021935,68806139866.14401,2522491881.2658186,-3246999.218928731,-2199303914.6452017,0.0,500970195.9005054,0.0,7
139,2023-10-31,priv,0,1,18,548,2939524.1214619162,737.3038120973506,2940261.4252740135,0.0,0.0,0.0,0.0,737.3038120973506,0.0,6
140,2023-10-31,priv,0,1,24,730,1561987.9449475002,4100.07912500697,1566088.0240725072,0.0,0.0,0.0,0.0,4100.07912500697,0.0,6
141,2023-10-31,priv,0,1,36,1095,1441.8453995833333,3.664690390607575,1445.510089973941,0.0,0.0,0.0,0.0,3.664690390607575,0.0,7
142,2023-10-31,priv,1,0,3,90,103205749.53694879,72691212.02561542,175896961.5625642,64256403.75389381,0.0,0.0,7594842.477677781,839965.794043839,0.0,2
143,2023-10-31,priv,1,0,6,180,74993494.76410815,53764762.131738186,128758256.89584634,46691316.13401894,0.0,0.0,6480997.389082788,592448.6086364556,0.0,3
144,2023-10-31,priv,1,0,12,365,45564584.879605845,31796486.290075235,77361071.16968107,27938402.84539617,-691177.1245133333,0.0,4194760.647927159,354499.92126523517,0.0,5
145,2023-10-31,priv,1,0,18,548,17209447.758202188,2014214.901087705,19223662.65928989,3902885.013488317,-1234391.2756508333,0.0,-725169.3272839184,70890.49053413974,0.0,6
146,2023-10-31,priv,1,0,24,730,18419466.517271012,2479190.539061047,20898657.05633206,3045082.142672198,0.0,0.0,-640648.0454589933,74756.44184784255,0.0,6
147,2023-10-31,priv,1,0,36,1095,149826321.728162,65890242.64191547,215716564.3700775,83193374.84862927,0.0,0.0,-18263990.712997008,960858.5062832056,0.0,7
148,2023-10-31,priv,1,1,3,90,22264281808.648247,8847031246.852764,31111313055.501007,9529320628.311205,-290391009.2482029,0.0,-553877985.4106905,161979613.200452,319071405.5908855,2
149,2023-10-31,priv,1,1,6,180,37616768131.119804,1580868570.2839797,39197636701.403786,3529581032.919988,-1252619757.800758,0.0,-931696515.9650772,235603811.1298265,1026429915.14722,3
150,2023-10-31,priv,1,1,12,365,11381168334.107668,2460505060.861766,13841673394.969435,3158337546.7932057,-9387225.807170196,0.0,-760445761.5937798,72000501.46951024,5638302.0269759875,5
151,2023-10-31,priv,1,1,18,548,6756541094.20674,2886707514.075255,9643248608.281996,3151573396.3482146,-16767065.137042757,0.0,-297590363.7618631,49491546.625946134,0.0,6
152,2023-10-31,priv,1,1,24,730,16241171710.82778,-72676063.86014822,16168495646.967632,1795744949.2930152,-168743058.96067113,0.0,-1781968874.4053147,82290920.21282241,56013959.45766178,6
153,2023-10-31,priv,1,1,36,1095,1158487532.966025,359159923.05125684,1517647456.017282,425098122.3124733,0.0,0.0,-73870939.90941669,7932740.648200228,0.0,7
154,2023-10-31,vip,0,0,3,90,23474211319.16781,12700973314.594633,36175184633.76244,12581939161.396587,-7436567.240877249,-90764189.33609642,0.0,217234909.77501944,0.0,2
155,2023-10-31,vip,0,0,6,180,61383960398.210365,5357252118.153676,66741212516.364044,12150207275.560137,-6802254705.579825,-391371057.64953065,0.0,400670605.8228948,8108590.959851933,3
156,2023-10-31,vip,0,0,12,365,87030873872.74132,3057369826.6314473,90088243699.37277,16974558721.272001,-13600777135.016539,-867358818.4971726,0.0,550947058.8731571,0.0,5
157,2023-10-31,vip,0,0,18,548,17406886072.472073,9074619654.887201,26481505727.359276,9257632141.958319,-25871584.24626224,-311376433.84291947,0.0,154235531.0180649,0.0,6
158,2023-10-31,vip,0,0,24,730,5437480753.327949,1675987572.6241155,7113468325.9520645,1855483492.9404747,0.0,-222293073.77013582,0.0,42797153.45377653,0.0,6
159,2023-10-31,vip,0,0,36,1095,24884125237.79952,574132234.4995617,25458257472.29908,2252042849.817119,0.0,-1847179059.2493205,0.0,169268443.93176308,0.0,7
160,2023-10-31,vip,1,0,18,548,26173391.03371875,81791.84698037058,26255182.88069912,0.0,0.0,0.0,0.0,81791.84698037058,0.0,6
161,2023-10-31,vip,1,0,24,730,7937258.923673333,24396.90871546406,7961655.832388797,0.0,0.0,0.0,0.0,24396.90871546406,0.0,6
162,2023-10-31,vip,1,0,36,1095,43481804.365656495,-20133923.27427064,23347881.09138586,0.0,-36333.374480000006,0.0,-20181213.77865002,83623.87885938198,0.0,7
163,2023-10-31,vip,1,1,3,90,595465263404.1414,-25236582017.26245,570228681386.8789,8932379352.01708,-24394795813.654373,0.0,-14382031504.34827,4607865948.723116,12028097209.428537,2
164,2023-10-31,vip,1,1,6,180,140681004744.88422,31188922195.719624,171869926940.60385,39509619654.1388,-3272545056.1191816,0.0,-6047555122.0035925,999402719.7035946,1628378777.7415898,3
165,2023-10-31,vip,1,1,12,365,290759399509.32227,62853292513.527466,353612692022.84973,74464463703.2532,-9179756866.042536,0.0,-4654510069.025641,2223095745.3424406,713156392.4346024,5
166,2023-10-31,vip,1,1,18,548,48956090536.24784,11734852430.709648,60690942966.95749,16319395456.375078,-1739812805.0979128,0.0,-3172513126.3514733,327782905.78395617,7212012.863839677,6
167,2023-10-31,vip,1,1,24,730,53149188847.15118,13515187859.226843,66664376706.37802,17890728430.611637,-406057624.93726337,0.0,-4321337267.571347,351854321.1238153,86360743.13661358,6
168,2023-10-31,vip,1,1,36,1095,306508989232.228,29535920443.890606,336044909676.11865,9200355657.924368,0.0,0.0,17492007544.031494,2843557241.9347425,0.0,7
169,2023-11-30,mass,0,0,3,90,304952513271.8584,-11541302925.29651,293411210346.5619,66389751084.416595,-78076221783.87039,-1228437622.372482,0.0,1373605396.5297682,66204395567.78147,2
170,2023-11-30,mass,0,0,6,180,326027764420.1756,-4940410582.8521385,321087353837.3235,48656362420.24857,-52604776792.300125,-2937398869.5807667,0.0,1945402658.7801797,1556530546.0331924,3
171,2023-11-30,mass,0,0,12,365,236609405577.41812,7556038188.83113,244165443766.24924,33727424391.51249,-25058130011.53753,-2585877970.543972,0.0,1472621779.400142,18179945.279761408,5
172,2023-11-30,mass,0,0,18,548,28486195587.0639,8723785375.938368,37209980963.002266,9013141003.706118,-98314120.9281894,-407360869.60938746,0.0,216319362.76982746,456104.40147972276,6
173,2023-11-30,mass,0,0,24,730,3097120983.01476,441166058.61752045,3538287041.6322803,449246708.51101553,-7064674.487740933,-22619826.78059239,0.0,21603851.374838203,441082.29005543183,6
174,2023-11-30,mass,0,0,36,1095,52511786821.87817,265015844.754588,52776802666.63275,687948837.5341651,-1051825.10532695,-804932597.6623166,0.0,383051429.9880663,957936.0768439119,7
175,2023-11-30,mass,0,1,12,365,6282117.610283604,-1567938.2653652725,4714179.344918331,0.0,-1576099.5280281045,0.0,0.0,8161.262662831858,0.0,5
176,2023-11-30,mass,0,1,18,548,1178502.6759444082,-331948.95223052753,846553.7237138808,0.0,-333235.19899176405,0.0,0.0,1286.2467612365263,857.2441103443726,6
177,2023-11-30,mass,0,1,24,730,4142578.250786096,-861415.4273554649,3281162.823430631,0.0,-869470.41881675,0.0,0.0,8054.991461285173,0.0,6
178,2023-11-30,mass,0,1,36,1095,10827002.072231986,27355.52845428957,10854357.600686276,0.0,0.0,0.0,0.0,27355.52845428957,0.0,7
179,2023-11-30,mass,1,0,18,548,9379756.699551256,-3005111.060833561,6374645.638717696,0.0,-3019301.1949590775,0.0,0.0,14190.134125516597,0.0,6
180,2023-11-30,mass,1,0,24,730,21955632.76997169,-2061269.3052397761,19894363.464731913,0.0,-2107175.5200231113,0.0,0.0,45906.21478333521,1979204.631147522,6
181,2023-11-30,mass,1,0,36,1095,19636413.179519627,-1393728.4097671206,18242684.769752506,0.0,-1033123.396623352,0.0,-417075.84830873384,56470.83516496509,0.0,7
182,2023-11-30,mass,1,1,3,90,390701532.3181621,26598114.639510103,417299646.9576722,58756087.51826476,-31489289.865859497,0.0,-3203752.01099497,2535068.9980998095,22006657.28211477,2
183,2023-11-30,mass,1,1,6,180,4759081480.698465,-108051838.0700909,4651029642.628374,12771846.537267737,-149080204.83021078,0.0,-759354.0621584083,29015874.28501053,139203372.53185177,3
